2026-04-22 03:54:24 | RabbitmqConsumer.py.start_multiple_consumer_threads | [INFO ] | Starting 4 RabbitMQ consumer threads for queue 'queue_crowd_density'
2026-04-22 03:54:24 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-04-22 03:54:24 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-0
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-22 03:54:24 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-04-22 03:54:24 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-1
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-22 03:54:24 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-04-22 03:54:24 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-2
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-22 03:54:24 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-04-22 03:54:24 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-3
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-22 03:54:24 | app.py.execute_VisionAiPipeline  | [INFO ] | Launching Vision AI crowd density pipeline...
2026-04-22 03:54:24 | app.py.initialize_detectors      | [INFO ] | Initializing crowd density model and GPU manager...
2026-04-22 03:54:24 | ObjectDetector.py.__init__                  | [INFO ] | Model will be loaded on device: cuda:0
2026-04-22 03:54:24 | ObjectDetector.py._load_model               | [INFO ] | Loading YOLO model from: /home/japneet-kaur/Workspace/codexwork/LAWA_AI_Engine/Ai_engine/Ai_engine/src/models/yolov8n.pt
2026-04-22 03:54:24 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-1] RabbitMQ connected successfully
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-22 03:54:24 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-2] RabbitMQ connected successfully
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-22 03:54:24 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-3] RabbitMQ connected successfully
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-22 03:54:24 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-0] RabbitMQ connected successfully
2026-04-22 03:54:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-22 03:54:24 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-04-22 03:54:24 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-04-22 03:54:24 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-04-22 03:54:24 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-04-22 03:54:30 | app.py.initialize_detectors      | [INFO ] | crowd density model and GPU manager initialized successfully.
2026-04-22 03:54:30 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-22 03:54:30 | RabbitmqServices.py._ensure_connection        | [INFO ] | [MainThread] RabbitMQ connected successfully
2026-04-22 03:54:30 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-22 03:54:30 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0277 seconds
2026-04-22 03:54:30 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0281 seconds
2026-04-22 03:54:30 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 03:54:30 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0244 seconds
2026-04-22 03:54:30 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0248 seconds
2026-04-22 03:54:30 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-22 03:54:39 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 03:54:39 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 9.0855 seconds
2026-04-22 03:54:39 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0253 seconds
2026-04-22 03:54:39 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0260 seconds
2026-04-22 03:54:39 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-22 03:54:43 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 03:54:43 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 3.8783 seconds
2026-04-22 03:54:43 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0219 seconds
2026-04-22 03:54:43 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0223 seconds
2026-04-22 03:54:43 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-22 03:54:45 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 03:54:45 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 2.6164 seconds
2026-04-22 03:54:45 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0129 seconds
