2026-04-17 00:03:36 | RabbitmqConsumer.py.start_multiple_consumer_threads | [INFO ] | Starting 4 RabbitMQ consumer threads for queue 'queue_in_out_person_count'
2026-04-17 00:03:36 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_in_out_person_count
2026-04-17 00:03:36 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-In_Out_Person_Count-0
2026-04-17 00:03:36 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-17 00:03:36 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_in_out_person_count
2026-04-17 00:03:36 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-In_Out_Person_Count-1
2026-04-17 00:03:36 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-17 00:03:36 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_in_out_person_count
2026-04-17 00:03:36 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-In_Out_Person_Count-2
2026-04-17 00:03:36 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-17 00:03:36 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_in_out_person_count
2026-04-17 00:03:36 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-17 00:03:36 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-In_Out_Person_Count-3
2026-04-17 00:03:36 | app.py.execute_VisionAiPipeline  | [INFO ] | Launching Vision AI In/Out person count detection pipeline...
2026-04-17 00:03:36 | app.py.initialize_detectors      | [INFO ] | Initializing in/out person count detection model and GPU manager...
2026-04-17 00:03:38 | ObjectDetector.py.__init__                  | [INFO ] | Model will be loaded on device: cuda:0
2026-04-17 00:03:38 | ObjectDetector.py._load_model               | [INFO ] | Loading YOLO model from: /home/adi/WorkSpace/CodexWork/LAWA_AI_Engine/Ai_engine/src/models/yolov8n.pt
2026-04-17 00:03:38 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-In_Out_Person_Count-0] RabbitMQ connected successfully
2026-04-17 00:03:38 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-In_Out_Person_Count-3] RabbitMQ connected successfully
2026-04-17 00:03:38 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-17 00:03:38 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-17 00:03:38 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-In_Out_Person_Count-2] RabbitMQ connected successfully
2026-04-17 00:03:38 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-17 00:03:38 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-In_Out_Person_Count-1] RabbitMQ connected successfully
2026-04-17 00:03:38 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_in_out_person_count' with prefetch=50
2026-04-17 00:03:38 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-17 00:03:38 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_in_out_person_count' with prefetch=50
2026-04-17 00:03:38 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_in_out_person_count' with prefetch=50
2026-04-17 00:03:38 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_in_out_person_count' with prefetch=50
2026-04-17 00:03:50 | app.py.initialize_detectors      | [INFO ] | In/Out person count model and GPU manager initialized successfully.
2026-04-17 00:03:50 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-17 00:03:50 | RabbitmqServices.py._ensure_connection        | [INFO ] | [MainThread] RabbitMQ connected successfully
2026-04-17 00:03:50 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0178 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0181 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-17 00:03:50 | InOutPersonCount.py.__init__                  | [INFO ] | Initializing InOutPersonCount detection class
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0119 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0120 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.7465 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0083 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0090 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0092 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0090 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0066 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0071 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0055 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0059 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0094 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0051 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0053 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0080 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0061 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0063 seconds
2026-04-17 00:03:50 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:50 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0084 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0054 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0057 seconds
2026-04-17 00:03:51 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0087 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0101 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0105 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0107 seconds
2026-04-17 00:03:51 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0067 seconds
2026-04-17 00:03:51 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0073 seconds
2026-04-17 00:03:51 | main.py.process_vision_stream     | [INFO ] | Task assigned: False
