2026-04-27 03:24:05 | RabbitmqConsumer.py.start_multiple_consumer_threads | [INFO ] | Starting 4 RabbitMQ consumer threads for queue 'queue_restroom_person_tracking'
2026-04-27 03:24:05 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_restroom_person_tracking
2026-04-27 03:24:05 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-27 03:24:05 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Restroom_Person_Tracking-0
2026-04-27 03:24:05 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_restroom_person_tracking
2026-04-27 03:24:05 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Restroom_Person_Tracking-1
2026-04-27 03:24:05 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-27 03:24:05 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_restroom_person_tracking
2026-04-27 03:24:05 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Restroom_Person_Tracking-2
2026-04-27 03:24:05 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-27 03:24:05 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_restroom_person_tracking
2026-04-27 03:24:05 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Restroom_Person_Tracking-3
2026-04-27 03:24:05 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-27 03:24:05 | app.py.execute_VisionAiPipeline  | [INFO ] | Launching Vision AI Restroom Person Tracking detection pipeline...
2026-04-27 03:24:08 | ObjectDetector.py.__init__                  | [INFO ] | Model will be loaded on device: cuda:0
2026-04-27 03:24:08 | ObjectDetector.py._load_model               | [INFO ] | Loading YOLO model from: /home/adi/WorkSpace/CodexWork/LAWA_AI_Engine/Ai_services/Ai_engine/src/models/yolov8n.pt
2026-04-27 03:24:08 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Restroom_Person_Tracking-1] RabbitMQ connected successfully
2026-04-27 03:24:08 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-27 03:24:08 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Restroom_Person_Tracking-0] RabbitMQ connected successfully
2026-04-27 03:24:08 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-27 03:24:08 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Restroom_Person_Tracking-3] RabbitMQ connected successfully
2026-04-27 03:24:08 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-27 03:24:08 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_restroom_person_tracking' with prefetch=50
2026-04-27 03:24:08 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Restroom_Person_Tracking-2] RabbitMQ connected successfully
2026-04-27 03:24:08 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_restroom_person_tracking' with prefetch=50
2026-04-27 03:24:08 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-27 03:24:08 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_restroom_person_tracking' with prefetch=50
