2026-04-20 13:12:19 | RabbitmqConsumer.py.start_multiple_consumer_threads | [INFO ] | Starting 4 RabbitMQ consumer threads for queue 'queue_tailgate_detection'
2026-04-20 13:12:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_tailgate_detection
2026-04-20 13:12:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-20 13:12:19 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Tailgate_Detection-0
2026-04-20 13:12:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_tailgate_detection
2026-04-20 13:12:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-20 13:12:19 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Tailgate_Detection-1
2026-04-20 13:12:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_tailgate_detection
2026-04-20 13:12:19 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Tailgate_Detection-2
2026-04-20 13:12:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-20 13:12:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_tailgate_detection
2026-04-20 13:12:19 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Tailgate_Detection-3
2026-04-20 13:12:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-04-20 13:12:19 | app.py.execute_VisionAiPipeline  | [INFO ] | Launching Vision AI tailgate detection pipeline...
2026-04-20 13:12:19 | app.py.initialize_detectors      | [INFO ] | Initializing tailgate detection model and GPU manager...
2026-04-20 13:12:21 | ObjectDetector.py.__init__                  | [INFO ] | Model will be loaded on device: cuda:0
2026-04-20 13:12:21 | ObjectDetector.py._load_model               | [INFO ] | Loading YOLO model from: /home/japneet-kaur/Workspace/codexwork/LAWA_AI_Engine/Ai_engine/Ai_engine/src/models/yolov8n.pt
2026-04-20 13:12:21 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_tailgate_detection' with prefetch=50
2026-04-20 13:12:21 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_tailgate_detection' with prefetch=50
2026-04-20 13:12:21 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Tailgate_Detection-2] RabbitMQ connected successfully
2026-04-20 13:12:21 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on localhost:5672 using exchange 'LAWA_exchange'
2026-04-20 13:12:21 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Tailgate_Detection-3] RabbitMQ connected successfully
