2026-05-05 12:44:09 | RabbitmqConsumer.py.start_multiple_consumer_threads | [INFO ] | Starting 4 RabbitMQ consumer threads for queue 'queue_crowd_density'
2026-05-05 12:44:09 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:44:09 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-0
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:44:09 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:44:09 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-1
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:44:09 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:44:09 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-2
2026-05-05 12:44:09 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:44:09 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-3
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:44:09 | app.py.execute_VisionAiPipeline  | [INFO ] | Launching Vision AI crowd density pipeline...
2026-05-05 12:44:09 | app.py.initialize_detectors      | [INFO ] | Initializing crowd density model and GPU manager...
2026-05-05 12:44:09 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-0] RabbitMQ connected successfully
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 12:44:09 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-2] RabbitMQ connected successfully
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 12:44:09 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-1] RabbitMQ connected successfully
2026-05-05 12:44:09 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 12:44:09 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-05-05 12:44:09 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-05-05 12:44:09 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-05-05 12:44:09 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-3] RabbitMQ connected successfully
2026-05-05 12:44:09 | ObjectDetector.py.__init__                  | [INFO ] | Model will be loaded on device: cuda:0
2026-05-05 12:44:09 | RabbitmqServices.py.receive_messages_batch    | [INFO ] | Consumer started on queue 'queue_crowd_density' with prefetch=50
2026-05-05 12:44:09 | ObjectDetector.py._load_model               | [INFO ] | Loading YOLO model from: /app/src/models/yolov8n.pt
2026-05-05 12:44:12 | ObjectDetector.py.__init__                  | [INFO ] | Model will be loaded on device: cuda:0
2026-05-05 12:44:12 | ObjectDetector.py._load_model               | [INFO ] | Loading YOLO model from: /app/src/models/yolov8n.pt
2026-05-05 12:44:20 | app.py.initialize_detectors      | [INFO ] | crowd density model and GPU manager initialized successfully.
2026-05-05 12:44:20 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:44:20 | RabbitmqServices.py._ensure_connection        | [INFO ] | [MainThread] RabbitMQ connected successfully
2026-05-05 12:44:20 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 12:45:53 | Utilies.py.handle_shutdown_signal    | [INFO ] | Received shutdown signal: 15. Cleaning up...
2026-05-05 12:45:53 | main.py.process_vision_stream     | [INFO ] | [VISION STREAM] Received shutdown signal. Performing final cleanup...
2026-05-05 12:45:53 | Utilies.py.cleanup_resources         | [INFO ] | [INFO] Shutdown signal set for all components
2026-05-05 12:45:53 | Utilies.py.shutdown_gpu_workers      | [INFO ] | [INFO] Shutting down GPU/CPU workers...
2026-05-05 12:45:53 | Utilies.py.shutdown_gpu_workers      | [INFO ] | [INFO] Waiting for GPU/CPU worker 1 to finish...
2026-05-05 12:45:54 | Utilies.py.shutdown_gpu_workers      | [INFO ] | [INFO] GPU/CPU worker 1 shut down successfully
2026-05-05 12:45:54 | Utilies.py.shutdown_gpu_workers      | [INFO ] | [INFO] Waiting for GPU/CPU worker 2 to finish...
2026-05-05 12:45:54 | Utilies.py.shutdown_gpu_workers      | [INFO ] | [INFO] GPU/CPU worker 2 shut down successfully
2026-05-05 12:45:54 | Utilies.py.shutdown_gpu_workers      | [INFO ] | [INFO] All GPU workers shutdown complete
2026-05-05 12:45:54 | Utilies.py.shutdown_rabbitMQ_consumers | [INFO ] | [INFO] Waiting for RabbitMQ consumer threads to exit...
2026-05-05 12:45:56 | Utilies.py.shutdown_rabbitMQ_consumers | [INFO ] | [WARNING] RabbitMQ thread RabbitMQConsumerThreadAI-Crowd_Density-0 did not shut down cleanly.
2026-05-05 12:45:58 | Utilies.py.shutdown_rabbitMQ_consumers | [INFO ] | [WARNING] RabbitMQ thread RabbitMQConsumerThreadAI-Crowd_Density-1 did not shut down cleanly.
2026-05-05 12:45:59 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Exiting consumer process for queue_crowd_density
2026-05-05 12:45:59 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Exiting consumer process for queue_crowd_density
2026-05-05 12:45:59 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Exiting consumer process for queue_crowd_density
2026-05-05 12:45:59 | Utilies.py.shutdown_rabbitMQ_consumers | [INFO ] | [INFO] RabbitMQ thread RabbitMQConsumerThreadAI-Crowd_Density-2 shut down successfully.
2026-05-05 12:45:59 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Exiting consumer process for queue_crowd_density
2026-05-05 12:45:59 | Utilies.py.shutdown_rabbitMQ_consumers | [INFO ] | [INFO] RabbitMQ thread RabbitMQConsumerThreadAI-Crowd_Density-3 shut down successfully.
2026-05-05 12:45:59 | Utilies.py.shutdown_rabbitMQ_consumers | [INFO ] | [INFO] Graceful shutdown sequence completed
2026-05-05 12:45:59 | Utilies.py.close_rabbitMQ_connection | [INFO ] | [INFO] Closing RabbitMQ connection...
2026-05-05 12:45:59 | RabbitmqServices.py.close_connection          | [INFO ] | [MainThread] RabbitMQ connection closed.
2026-05-05 12:45:59 | Utilies.py.close_rabbitMQ_connection | [INFO ] | [INFO] RabbitMQ connection closed successfully
2026-05-05 12:45:59 | app.py.execute_VisionAiPipeline  | [INFO ] | Vision AI pipeline execution completed successfully.
2026-05-05 12:46:40 | RabbitmqConsumer.py.start_multiple_consumer_threads | [INFO ] | Starting 4 RabbitMQ consumer threads for queue 'queue_crowd_density'
2026-05-05 12:46:40 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:46:40 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-0
2026-05-05 12:46:40 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:46:40 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:46:40 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-1
2026-05-05 12:46:40 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:46:40 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:46:40 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-2
2026-05-05 12:46:40 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 12:46:40 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Starting consumer loop for queue: queue_crowd_density
2026-05-05 12:46:40 | RabbitmqConsumer.py._start_single_thread      | [INFO ] | Started thread RabbitMQConsumerThreadAI-Crowd_Density-3
2026-05-05 12:46:40 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
