2026-05-05 07:19:48,164 | EventManager | INFO | main.py:51 | EventManagerNode initialized successfully.
2026-05-05 07:19:48,164 | EventManager | INFO | websocket_notifier.py:67 | [WebSocket] Server successfully started on ws://0.0.0.0:9004
2026-05-05 07:19:48,164 | EventManager | INFO | main.py:183 | [SYSTEM] Event Manager starting with 10 consumer threads...
2026-05-05 07:19:48,165 | EventManager | INFO | main.py:58 | [*] Starting listener for loitering_detection_event_queue...
2026-05-05 07:19:48,165 | EventManager | INFO | main.py:58 | [*] Starting listener for tailgate_detection_event_queue...
2026-05-05 07:19:48,166 | EventManager | INFO | main.py:58 | [*] Starting listener for in_out_person_count_event_queue...
2026-05-05 07:19:48,166 | EventManager | INFO | main.py:58 | [*] Starting listener for train_arrival_depart_monitor_event_queue...
2026-05-05 07:19:48,167 | EventManager | INFO | main.py:58 | [*] Starting listener for crowd_density_event_queue...
2026-05-05 07:19:48,169 | EventManager | INFO | main.py:58 | [*] Starting listener for person_entered_inside_train_event_queue...
2026-05-05 07:19:48,171 | EventManager | INFO | main.py:58 | [*] Starting listener for restroom_person_tracking_event_queue...
2026-05-05 07:19:48,172 | EventManager | INFO | main.py:58 | [*] Starting listener for person_count_inside_compartment_event_queue...
2026-05-05 07:19:48,173 | EventManager | INFO | main.py:58 | [*] Starting listener for queue_management_event_queue...
2026-05-05 07:19:48,174 | EventManager | INFO | main.py:58 | [*] Starting listener for bird_eye_view_event_queue...
2026-05-05 07:20:18,612 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072018.mp4
2026-05-05 07:20:18,613 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072018.mp4
2026-05-05 07:20:18,635 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 208 for camera: test_cam_01
2026-05-05 07:20:18,635 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:18.61...
2026-05-05 07:20:19,286 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072018.mp4
2026-05-05 07:20:19,287 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072018.mp4
2026-05-05 07:20:19,298 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 209 for camera: test_cam_01
2026-05-05 07:20:19,298 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:19.28...
2026-05-05 07:20:20,008 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072019.mp4
2026-05-05 07:20:20,009 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072019.mp4
2026-05-05 07:20:20,019 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 210 for camera: test_cam_01
2026-05-05 07:20:20,019 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:20.00...
2026-05-05 07:20:20,560 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072020.mp4
2026-05-05 07:20:20,561 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072020.mp4
2026-05-05 07:20:20,572 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 211 for camera: test_cam_01
2026-05-05 07:20:20,572 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:20.56...
2026-05-05 07:20:21,140 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072020.mp4
2026-05-05 07:20:21,141 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072020.mp4
2026-05-05 07:20:21,151 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 212 for camera: test_cam_01
2026-05-05 07:20:21,151 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:21.14...
2026-05-05 07:20:21,733 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072021.mp4
2026-05-05 07:20:21,734 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072021.mp4
2026-05-05 07:20:21,746 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 213 for camera: test_cam_01
2026-05-05 07:20:21,746 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:21.73...
2026-05-05 07:20:22,316 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072021.mp4
2026-05-05 07:20:22,317 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072021.mp4
2026-05-05 07:20:22,328 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 214 for camera: test_cam_01
2026-05-05 07:20:22,329 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:22.31...
2026-05-05 07:20:22,929 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072022.mp4
2026-05-05 07:20:22,930 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072022.mp4
2026-05-05 07:20:22,939 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 215 for camera: test_cam_01
2026-05-05 07:20:22,940 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:22.93...
2026-05-05 07:20:23,513 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072022.mp4
2026-05-05 07:20:23,514 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072022.mp4
2026-05-05 07:20:23,525 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 216 for camera: test_cam_01
2026-05-05 07:20:23,526 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:23.51...
2026-05-05 07:20:24,167 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072023.mp4
2026-05-05 07:20:24,169 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072023.mp4
2026-05-05 07:20:24,179 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 217 for camera: test_cam_01
2026-05-05 07:20:24,179 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:24.17...
2026-05-05 07:20:24,778 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072024.mp4
2026-05-05 07:20:24,779 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072024.mp4
2026-05-05 07:20:24,788 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 218 for camera: test_cam_01
2026-05-05 07:20:24,788 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:24.77...
2026-05-05 07:20:25,410 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072024.mp4
